timestamp,symbol,model_name,signal_strength_0_to_1,latency_ms
2010-01-04,QQQ,LSTM,0.5,15.0
2010-01-05,QQQ,LSTM,0.5,15.0
2010-01-06,QQQ,LSTM,0.5,15.0
2010-01-07,QQQ,LSTM,0.5,15.0
2010-01-08,QQQ,LSTM,0.5,15.0
2010-01-11,QQQ,LSTM,0.5,15.0
2010-01-12,QQQ,LSTM,0.5,15.0
2010-01-13,QQQ,LSTM,0.5,15.0
2010-01-14,QQQ,LSTM,0.5,15.0
2010-01-15,QQQ,LSTM,0.5,15.0
2010-01-19,QQQ,LSTM,0.5,15.0
2010-01-20,QQQ,LSTM,0.5,15.0
2010-01-21,QQQ,LSTM,0.5,15.0
2010-01-22,QQQ,LSTM,0.5,15.0
2010-01-25,QQQ,LSTM,0.5,15.0
2010-01-26,QQQ,LSTM,0.5,15.0
2010-01-27,QQQ,LSTM,0.5,15.0
2010-01-28,QQQ,LSTM,0.5,15.0
2010-01-29,QQQ,LSTM,0.5,15.0
2010-02-01,QQQ,LSTM,0.5,15.0
2010-02-02,QQQ,LSTM,0.5,15.0
2010-02-03,QQQ,LSTM,0.5,15.0
2010-02-04,QQQ,LSTM,0.5,15.0
2010-02-05,QQQ,LSTM,0.5,15.0
2010-02-08,QQQ,LSTM,0.5,15.0
2010-02-09,QQQ,LSTM,0.5,15.0
2010-02-10,QQQ,LSTM,0.5,15.0
2010-02-11,QQQ,LSTM,0.5,15.0
2010-02-12,QQQ,LSTM,0.5,15.0
2010-02-16,QQQ,LSTM,0.5,15.0
2010-02-17,QQQ,LSTM,0.5,15.0
2010-02-18,QQQ,LSTM,0.5,15.0
2010-02-19,QQQ,LSTM,0.5,15.0
2010-02-22,QQQ,LSTM,0.5,15.0
2010-02-23,QQQ,LSTM,0.5,15.0
2010-02-24,QQQ,LSTM,0.5,15.0
2010-02-25,QQQ,LSTM,0.5,15.0
2010-02-26,QQQ,LSTM,0.5,15.0
2010-03-01,QQQ,LSTM,0.5,15.0
2010-03-02,QQQ,LSTM,0.5,15.0
2010-03-03,QQQ,LSTM,0.5,15.0
2010-03-04,QQQ,LSTM,0.5,15.0
2010-03-05,QQQ,LSTM,0.5,15.0
2010-03-08,QQQ,LSTM,0.5,15.0
2010-03-09,QQQ,LSTM,0.5,15.0
2010-03-10,QQQ,LSTM,0.5,15.0
2010-03-11,QQQ,LSTM,0.5,15.0
2010-03-12,QQQ,LSTM,0.5,15.0
2010-03-15,QQQ,LSTM,0.5,15.0
2010-03-16,QQQ,LSTM,0.5,15.0
2010-03-17,QQQ,LSTM,0.5,15.0
2010-03-18,QQQ,LSTM,0.5,15.0
2010-03-19,QQQ,LSTM,0.5,15.0
2010-03-22,QQQ,LSTM,0.5,15.0
2010-03-23,QQQ,LSTM,0.5,15.0
2010-03-24,QQQ,LSTM,0.5,15.0
2010-03-25,QQQ,LSTM,0.5,15.0
2010-03-26,QQQ,LSTM,0.5,15.0
2010-03-29,QQQ,LSTM,0.5,15.0
2010-03-30,QQQ,LSTM,0.5,15.0
2010-03-31,QQQ,LSTM,0.5,15.0
2010-04-01,QQQ,LSTM,0.5,15.0
2010-04-05,QQQ,LSTM,0.5,15.0
2010-04-06,QQQ,LSTM,0.5,15.0
2010-04-07,QQQ,LSTM,0.5,15.0
2010-04-08,QQQ,LSTM,0.5,15.0
2010-04-09,QQQ,LSTM,0.5,15.0
2010-04-12,QQQ,LSTM,0.5,15.0
2010-04-13,QQQ,LSTM,0.5,15.0
2010-04-14,QQQ,LSTM,0.5,15.0
2010-04-15,QQQ,LSTM,0.5,15.0
2010-04-16,QQQ,LSTM,0.5,15.0
2010-04-19,QQQ,LSTM,0.5,15.0
2010-04-20,QQQ,LSTM,0.5,15.0
2010-04-21,QQQ,LSTM,0.5,15.0
2010-04-22,QQQ,LSTM,0.5,15.0
2010-04-23,QQQ,LSTM,0.5,15.0
2010-04-26,QQQ,LSTM,0.5,15.0
2010-04-27,QQQ,LSTM,0.5,15.0
2010-04-28,QQQ,LSTM,0.5,15.0
2010-04-29,QQQ,LSTM,0.5,15.0
2010-04-30,QQQ,LSTM,0.5,15.0
2010-05-03,QQQ,LSTM,0.5,15.0
2010-05-04,QQQ,LSTM,0.5,15.0
2010-05-05,QQQ,LSTM,0.5,15.0
2010-05-06,QQQ,LSTM,0.5,15.0
2010-05-07,QQQ,LSTM,0.5,15.0
2010-05-10,QQQ,LSTM,0.5,15.0
2010-05-11,QQQ,LSTM,0.5,15.0
2010-05-12,QQQ,LSTM,0.5,15.0
2010-05-13,QQQ,LSTM,0.5,15.0
2010-05-14,QQQ,LSTM,0.5,15.0
2010-05-17,QQQ,LSTM,0.5,15.0
2010-05-18,QQQ,LSTM,0.5,15.0
2010-05-19,QQQ,LSTM,0.5,15.0
2010-05-20,QQQ,LSTM,0.5,15.0
2010-05-21,QQQ,LSTM,0.5,15.0
2010-05-24,QQQ,LSTM,0.5,15.0
2010-05-25,QQQ,LSTM,0.5,15.0
2010-05-26,QQQ,LSTM,0.5,15.0
2010-05-27,QQQ,LSTM,0.5,15.0
2010-05-28,QQQ,LSTM,0.5,15.0
2010-06-01,QQQ,LSTM,0.5,15.0
2010-06-02,QQQ,LSTM,0.5,15.0
2010-06-03,QQQ,LSTM,0.5,15.0
2010-06-04,QQQ,LSTM,0.5,15.0
2010-06-07,QQQ,LSTM,0.5,15.0
2010-06-08,QQQ,LSTM,0.5,15.0
2010-06-09,QQQ,LSTM,0.5,15.0
2010-06-10,QQQ,LSTM,0.5,15.0
2010-06-11,QQQ,LSTM,0.5,15.0
2010-06-14,QQQ,LSTM,0.5,15.0
2010-06-15,QQQ,LSTM,0.5,15.0
2010-06-16,QQQ,LSTM,0.5,15.0
2010-06-17,QQQ,LSTM,0.5,15.0
2010-06-18,QQQ,LSTM,0.5,15.0
2010-06-21,QQQ,LSTM,0.5,15.0
2010-06-22,QQQ,LSTM,0.5,15.0
2010-06-23,QQQ,LSTM,0.5,15.0
2010-06-24,QQQ,LSTM,0.5,15.0
2010-06-25,QQQ,LSTM,0.5,15.0
2010-06-28,QQQ,LSTM,0.5,15.0
2010-06-29,QQQ,LSTM,0.5,15.0
2010-06-30,QQQ,LSTM,0.5,15.0
2010-07-01,QQQ,LSTM,0.5,15.0
2010-07-02,QQQ,LSTM,0.5,15.0
2010-07-06,QQQ,LSTM,0.5071871876716614,15.0
2010-07-07,QQQ,LSTM,0.5069893002510071,15.0
2010-07-08,QQQ,LSTM,0.5073646903038025,15.0
2010-07-09,QQQ,LSTM,0.5074985027313232,15.0
2010-07-12,QQQ,LSTM,0.5079343318939209,15.0
2010-07-13,QQQ,LSTM,0.5083311796188354,15.0
2010-07-14,QQQ,LSTM,0.5086368918418884,15.0
2010-07-15,QQQ,LSTM,0.5088955760002136,15.0
2010-07-16,QQQ,LSTM,0.5091002583503723,15.0
2010-07-19,QQQ,LSTM,0.5090624690055847,15.0
2010-07-20,QQQ,LSTM,0.5089862942695618,15.0
2010-07-21,QQQ,LSTM,0.5092872381210327,15.0
2010-07-22,QQQ,LSTM,0.5092242360115051,15.0
2010-07-23,QQQ,LSTM,0.5093520879745483,15.0
2010-07-26,QQQ,LSTM,0.5096580982208252,15.0
2010-07-27,QQQ,LSTM,0.5099908709526062,15.0
2010-07-28,QQQ,LSTM,0.5102397799491882,15.0
2010-07-29,QQQ,LSTM,0.5105744004249573,15.0
2010-07-30,QQQ,LSTM,0.5106049180030823,15.0
2010-08-02,QQQ,LSTM,0.5107054114341736,15.0
2010-08-03,QQQ,LSTM,0.5109620094299316,15.0
2010-08-04,QQQ,LSTM,0.5111477971076965,15.0
2010-08-05,QQQ,LSTM,0.5115947723388672,15.0
2010-08-06,QQQ,LSTM,0.5120372176170349,15.0
2010-08-09,QQQ,LSTM,0.5123432874679565,15.0
2010-08-10,QQQ,LSTM,0.5127258896827698,15.0
2010-08-11,QQQ,LSTM,0.5126541256904602,15.0
2010-08-12,QQQ,LSTM,0.5121139883995056,15.0
2010-08-13,QQQ,LSTM,0.5117197036743164,15.0
2010-08-16,QQQ,LSTM,0.5112583637237549,15.0
2010-08-17,QQQ,LSTM,0.5109850764274597,15.0
2010-08-18,QQQ,LSTM,0.5108594298362732,15.0
2010-08-19,QQQ,LSTM,0.5108082294464111,15.0
2010-08-20,QQQ,LSTM,0.5104030966758728,15.0
2010-08-23,QQQ,LSTM,0.5101503133773804,15.0
2010-08-24,QQQ,LSTM,0.5098575353622437,15.0
2010-08-25,QQQ,LSTM,0.5093826651573181,15.0
2010-08-26,QQQ,LSTM,0.509174108505249,15.0
2010-08-27,QQQ,LSTM,0.5087647438049316,15.0
2010-08-30,QQQ,LSTM,0.5084955096244812,15.0
2010-08-31,QQQ,LSTM,0.5083546042442322,15.0
2010-09-01,QQQ,LSTM,0.5082651376724243,15.0
2010-09-02,QQQ,LSTM,0.5084478855133057,15.0
2010-09-03,QQQ,LSTM,0.5088438987731934,15.0
2010-09-07,QQQ,LSTM,0.5092261433601379,15.0
2010-09-08,QQQ,LSTM,0.5095524191856384,15.0
2010-09-09,QQQ,LSTM,0.5100120902061462,15.0
2010-09-10,QQQ,LSTM,0.5103980898857117,15.0
2010-09-13,QQQ,LSTM,0.5108217000961304,15.0
2010-09-14,QQQ,LSTM,0.5113779306411743,15.0
2010-09-15,QQQ,LSTM,0.5118201375007629,15.0
2010-09-16,QQQ,LSTM,0.5123501420021057,15.0
2010-09-17,QQQ,LSTM,0.5127822756767273,15.0
2010-09-20,QQQ,LSTM,0.5129819512367249,15.0
2010-09-21,QQQ,LSTM,0.5134533047676086,15.0
2010-09-22,QQQ,LSTM,0.5137279033660889,15.0
2010-09-23,QQQ,LSTM,0.5139017701148987,15.0
2010-09-24,QQQ,LSTM,0.5141162276268005,15.0
2010-09-27,QQQ,LSTM,0.5144321322441101,15.0
2010-09-28,QQQ,LSTM,0.5148037672042847,15.0
2010-09-29,QQQ,LSTM,0.5147687196731567,15.0
2010-09-30,QQQ,LSTM,0.5148184895515442,15.0
2010-10-01,QQQ,LSTM,0.5145584344863892,15.0
2010-10-04,QQQ,LSTM,0.5144234895706177,15.0
2010-10-05,QQQ,LSTM,0.5142988562583923,15.0
