======================================================================
  详细交易报告
======================================================================

【回测概览】
  初始资金: 100,000.00
  最终资产: 123,276.82
  总收益率: 23.28%
  夏普比率: 1.0493

【交易统计】
  总交易次数: 164
  买入次数: 75
  卖出次数: 89
  总手续费: 1196.03

【交易明细】
           date type     price  size         value  commission  symbol
0    2025-05-29   买入  3838.009    23  88274.207000   17.654841  CSI300
1    2025-05-30   卖出  3850.493    -9  34542.081000    6.930887  CSI300
2    2025-06-03   卖出  3833.458    -2   7676.018000    1.533383  CSI300
3    2025-06-04   卖出  3855.488    -1   3838.009000    0.771098  CSI300
4    2025-06-05   买入  3872.637     1   3872.637000    0.774527  CSI300
5    2025-06-06   卖出  3878.103   -14  38334.530000   10.858688  CSI300
6    2025-06-09   买入  3877.798    13  34899.572000   10.082275  CSI300
7    2025-06-10   卖出  3887.551   -11  42655.778000    8.552612  CSI300
8    2025-06-11   买入  3870.672     6  23224.032000    4.644806  CSI300
9    2025-06-12   买入  3885.520     1   3885.520000    0.777104  CSI300
10   2025-06-13   卖出  3881.492    -6  23236.758857    4.657790  CSI300
11   2025-06-17   买入  3875.177     6  23251.062000    4.650212  CSI300
12   2025-06-18   买入  3871.650     7  27101.550000    5.420310  CSI300
13   2025-06-19   卖出  3870.049    -4  15492.972898    3.096039  CSI300
14   2025-06-20   买入  3839.783     6  23038.698000    4.607740  CSI300
15   2025-06-23   买入  3831.170     2   7662.340000    1.532468  CSI300
16   2025-06-24   卖出  3862.388    -9  34716.735122    6.952298  CSI300
17   2025-06-25   卖出  3907.068    -2   7714.830027    1.562827  CSI300
18   2025-06-26   卖出  3953.160    -7  27001.905095    5.534424  CSI300
19   2025-06-27   买入  3949.788    15  59246.820000   11.849364  CSI300
20   2025-07-02   买入  3943.323     2   7886.646000    1.577329  CSI300
21   2025-07-03   卖出  3949.400    -6  23694.164471    4.739280  CSI300
22   2025-07-07   卖出  3977.288    -1   3949.027412    0.795458  CSI300
23   2025-07-08   买入  3965.426     2   7930.852000    1.586170  CSI300
24   2025-07-09   卖出  3997.504    -9  35565.844588    7.195507  CSI300
25   2025-07-10   买入  3993.420     9  35940.780000    7.188156  CSI300
26   2025-07-11   卖出  4011.465    -3  11949.015382    2.406879  CSI300
27   2025-07-14   买入  4021.214     4  16084.856000    3.216971  CSI300
28   2025-07-15   买入  4023.990     5  20119.950000    4.023990  CSI300
29   2025-07-16   卖出  4019.393    -8  32023.045399    6.431029  CSI300
30   2025-07-17   买入  4005.067    10  40050.670000    8.010134  CSI300
31   2025-07-18   卖出  4039.871    -3  12011.921512    2.423923  CSI300
32   2025-07-21   卖出  4069.769    -9  36035.764537    7.325584  CSI300
33   2025-07-22   卖出  4087.335   -10  23857.120699    8.174670  CSI300
34   2025-07-24   买入  4116.831    13  37110.471000   10.703761  CSI300
35   2025-07-25   卖出  4145.320   -16  24558.541000   13.265024  CSI300
36   2025-07-28   买入  4128.199    10    -85.605000    8.256398  CSI300
37   2025-07-29   买入  4132.683     6  24796.098000    4.959220  CSI300
38   2025-07-30   卖出  4148.941    -9  37175.803364    7.468094  CSI300
39   2025-07-31   买入  4141.561     8  33132.488000    6.626498  CSI300
40   2025-08-04   买入  4037.938    11  44417.318000    8.883464  CSI300
41   2025-08-06   卖出  4100.428    -3  12258.727948    2.460257  CSI300
42   2025-08-07   卖出  4120.282    -3  12258.727948    2.472169  CSI300
43   2025-08-08   卖出  4109.273    -7  28603.698545    5.752982  CSI300
44   2025-08-11   买入  4110.294     8  32882.352000    6.576470  CSI300
45   2025-08-12   卖出  4123.576    -4  16393.073299    3.298861  CSI300
46   2025-08-13   卖出  4150.504    -3  12294.804974    2.490302  CSI300
